buyer_name,plz,region_alt,region_neu,beleg,stand
"Schweizerische Bundesbahn SBB, Infrastruktur, Einkauf, Supply Chain, Produktion, Einkauf Bauprojekte, Standort Bern",3000,CH040,CH021,"die Einheit heisst „Standort Bern"" und sitzt in 3000 Bern; CH040 ist weder Sitz noch Leistungsort (Titel: Etzelwerk, Kanton Schwyz)",2026-09-02
Direction générale de l’environnement (DGE) - Direction de l’énergie de l’Etat de Vaud (Loyco SA),1227,CH011,CH011,kein Fehler: der Name nennt den Kanton Vaud; 1227 Carouge ist die Anschrift des beauftragten Dienstleisters Loyco SA,2026-09-02
Pini Gruppe AG,8645,CH040,CH040,"kein Fehler: Sitz Zuerich 8050, Rapperswil-Jona ist eine Zweigstelle — die Gesellschaft gibt in 4 von 5 Saetzen Zuerich an",2026-09-02
"SBB CFF FFS - Infrastruktur, Einkauf, Supply Chain und Produktion, Einkauf Bauprojekte Standort Bern",4600,CH021,CH021,"kein Fehler: die Einheit heisst „Standort Bern"", 4600 Olten ist die zentrale Postanschrift der SBB",2026-09-02
"Schweizerische Bundesbahnen SBB, Infrastruktur - Einkauf, Supply Chain und Produktion, Einkauf Bau Standort Bern",4600,CH021,CH021,"kein Fehler: „Standort Bern"" im Namen, 4600 Olten ist die zentrale Postanschrift",2026-09-02
eOperations Schweiz AG,3011,CH040,CH021,Sitz Bern 3011; eigene Angabe ueberwiegend Bern,2026-09-02
"Schweizerische Bundesbahnen SBB, Infrastruktur - Einkauf, Supply Chain und Produktion, Einkauf Bau Standort Bern, I-ESP-EIB-SBN",4600,CH021,CH021,"dieselbe Einheit mit Organisationskuerzel; Postanschrift Olten, Sitz Bern",2026-09-02
Comité de direction de l’Association Scolaire Intercommunale de St-Prex et environs - ASISE (Hymexia Sàrl),1618,CH011,CH011,kein Fehler: die Schulgemeinde St-Prex liegt in der Waadt; 1618 Chatel-St-Denis ist die Anschrift des Dienstleisters Hymexia Saerl,2026-09-02
Service de l'environnement,1110,CH022,CH022,"kein Fehler: die Waadt nennt ihre Stelle „Direction generale de l'environnement"" — „Service de l'environnement"" ist die Freiburger Bezeichnung",2026-09-02
Swissgrid AG - Engineering & Construction,5001,CH053,CH033,"Swissgrid sitzt in Aarau 5001, eigene Angabe 336x Aargau; CH053 (Appenzell A.Rh.) hat mit dem Leitungsprojekt nichts zu tun",2026-09-02
SBB CFF FFS Einkauf Bauprojekte Standort Bern,3000,CH040,CH021,"dieselbe Einheit, kuerzerer Name; Sitz Bern steht im Namen",2026-09-02
Spital Uster AG,8610,CH021,CH040,Spital Uster liegt in Uster 8610; eigene Angabe 11x Zuerich gegen 2x Bern,2026-09-02
