Pos.;Leistung;Menge;Einheit;Quelle;Datei
10;Dieselmotor;1,0;St;gaeb;Vergabeunterlagen/07 - Leistungsverzeichnis.X83
20;bürstenloser selbstregelnder Drehstromgenerator.;1,0;St;gaeb;Vergabeunterlagen/07 - Leistungsverzeichnis.X83
30;Gemeinsamer Grundrahmen;1,0;St;gaeb;Vergabeunterlagen/07 - Leistungsverzeichnis.X83
40;Elastische Lagerung zur wirksamen Dämpfung für Auspuff, Kraftstoff- und Kühlwasserleitungen, Schutzverkleidung am Aggregat für rotierende Teile und Keilriemen.;1,0;St;gaeb;Vergabeunterlagen/07 - Leistungsverzeichnis.X83
10;ISO Stahlcontainer in stabiler Bauform zur Aufnahme der Notstromanlage.;1,0;St;gaeb;Vergabeunterlagen/07 - Leistungsverzeichnis.X83
20;Die Ausstattung besteht aus:;1,0;Psch;gaeb;Vergabeunterlagen/07 - Leistungsverzeichnis.X83
10;Vollverzinkte Lüftungs- und Abgasanlage bestehend aus:;1,0;St;gaeb;Vergabeunterlagen/07 - Leistungsverzeichnis.X83
10;Markenfabrikat als Blei Batterie nach VDE 0108;1,0;St;gaeb;Vergabeunterlagen/07 - Leistungsverzeichnis.X83
10;Alle erforderlichen Leistungs- und Steuerkabel sowie Klein- und;1,0;Psch;gaeb;Vergabeunterlagen/07 - Leistungsverzeichnis.X83
20;Leistungskabel von Einspeisung Transformator, Leistungskabel zur Speisung NSHV.;1,0;Psch;gaeb;Vergabeunterlagen/07 - Leistungsverzeichnis.X83
10;K;1,0;St;gaeb;Vergabeunterlagen/07 - Leistungsverzeichnis.X83
20;Kraftstoffleitungen;1,0;Psch;gaeb;Vergabeunterlagen/07 - Leistungsverzeichnis.X83
30;Kraftstoff-Pumpenkombination;1,0;St;gaeb;Vergabeunterlagen/07 - Leistungsverzeichnis.X83
40;Lagertank doppelwandig 1000 Ltr. aus Stahlblech, mit 1000 Ltr. Inhalt zur freien Aufstellung im Aggregateraum mit Leckwarngerät und aller erforderlicher Armaturen für Füllung, Entlüftung und Entnahme, mit Grenzwertgeber und mechanischem Inhaltsanzeiger, sowie Sonde für Kraftstoffmangel;1,0;St;gaeb;Vergabeunterlagen/07 - Leistungsverzeichnis.X83
50;Kraftstoffleitungen als Verbindungsleitung zwischen Lagertank-Pumpe- Tagestank als Stahlrohrleitung mit Verbindungsstücken, Dichtungen und Befestigungsmaterial, sowie Füll-Entlüftungsrohr für Lagertank;1,0;Psch;gaeb;Vergabeunterlagen/07 - Leistungsverzeichnis.X83
10;Die Steuerung im Container muss den Controller;1,0;St;gaeb;Vergabeunterlagen/07 - Leistungsverzeichnis.X83
10;Lieferung und Aufstellung auf bauseits erstellte Stellfläche.;1,0;Psch;gaeb;Vergabeunterlagen/07 - Leistungsverzeichnis.X83
20;Herstellung Anbindung Notstromaggregat an NSHV;1,0;Psch;gaeb;Vergabeunterlagen/07 - Leistungsverzeichnis.X83
30;Herstellen der Erdung nach eingereichtem Konzept inkl. Erdungsmessung. Nach Abschluss der Arbeiten ist ein Prüfprotokoll nach DIN VDE 18014 (Erdungsprotokoll) vorzulegen.;1,0;Psch;gaeb;Vergabeunterlagen/07 - Leistungsverzeichnis.X83
10;Inbetriebnahme, welche;1,0;Psch;gaeb;Vergabeunterlagen/07 - Leistungsverzeichnis.X83
10;Die Dokumentation in deutscher Sprache sollte mindestens enthalten:;3,0;St;gaeb;Vergabeunterlagen/07 - Leistungsverzeichnis.X83
10;Gemäß Baubeschreibung;1,0;Psch;gaeb;Vergabeunterlagen/07 - Leistungsverzeichnis.X83
